,long,lat,NAME,FOLDERPATH,SYMBOLID,LatRound4,LongRound4,LatLong4,nearest_block,nearest_road
122,103.86177280174101,1.3307640597835901,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3308,103.8618,"1.3308,103.8618",265,KIM KEAT AVENUE
123,103.86252168426701,1.33282440934848,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3328,103.8625,"1.3328,103.8625",119,POTONG PASIR AVENUE 1
124,103.863296201078,1.33056076401949,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3306,103.8633,"1.3306,103.8633",,
125,103.863296201078,1.33056076401949,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3306,103.8633,"1.3306,103.8633",,
126,103.86395005776801,1.33005740206098,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3301,103.864,"1.3301,103.864",144,POTONG PASIR AVENUE 2
127,103.862586844212,1.33276619372681,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3328,103.8626,"1.3328,103.8626",119,POTONG PASIR AVENUE 1
128,103.86252168426701,1.33282440934848,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3328,103.8625,"1.3328,103.8625",119,POTONG PASIR AVENUE 1
129,103.862586844212,1.33276619372681,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3328,103.8626,"1.3328,103.8626",119,POTONG PASIR AVENUE 1
130,103.860100074373,1.34280145322439,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3428,103.8601,"1.3428,103.8601",,
131,103.859600549312,1.34321139710829,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3432,103.8596,"1.3432,103.8596",221,LORONG 8 TOA PAYOH
132,103.860623031595,1.34365855784618,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3437,103.8606,"1.3437,103.8606",,
133,103.86253836230101,1.3330467851316101,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.333,103.8625,"1.333,103.8625",119,POTONG PASIR AVENUE 1
134,103.860623031595,1.34365855784618,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3437,103.8606,"1.3437,103.8606",,
135,103.860892698978,1.3436105086335701,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3436,103.8609,"1.3436,103.8609",,
136,103.860623031595,1.34365855784618,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3437,103.8606,"1.3437,103.8606",,
137,103.86064727915199,1.34381127396884,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3438,103.8606,"1.3438,103.8606",,
138,103.860460967033,1.3451084574309702,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3451,103.8605,"1.3451,103.8605",,
